powerbi_table,source_view_or_table,column,data_type,description,classification
fact_threshold_optimization,vw_powerbi_threshold_optimization,f1,decimal,F1 at threshold,threshold_output
fact_threshold_optimization,vw_powerbi_threshold_optimization,mcc,decimal,MCC at threshold,threshold_output
fact_threshold_optimization,vw_powerbi_threshold_optimization,total_cost,decimal,Asymmetric total cost at threshold,threshold_output
fact_threshold_optimization,vw_powerbi_threshold_optimization,is_f1_optimal,whole number,1 at the F1-optimal threshold,threshold_output
fact_threshold_optimization,vw_powerbi_threshold_optimization,is_mcc_optimal,whole number,1 at the MCC-optimal threshold,threshold_output
fact_threshold_optimization,vw_powerbi_threshold_optimization,is_cost_optimal,whole number,1 at the cost-optimal threshold,threshold_output
fact_simulation,vw_powerbi_simulation_effectiveness,simulation_run_id,text,Run PK (dim_simulation_run),real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,started_at,datetime,Run start,real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,stopped_at,datetime,Run stop,real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,status,text,ACTIVE / COMPLETED,real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,rate_tps,whole number,Configured transactions per second,real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,fraud_ratio,decimal,Configured fraud injection ratio,real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,generated_transactions,whole number,Total transactions in the run,real_simulated
fact_simulation,vw_powerbi_simulation_effectiveness,simulated_frauds,whole number,Ground-truth frauds injected,simulation_ground_truth
fact_simulation,vw_powerbi_simulation_effectiveness,detected_frauds,whole number,Frauds correctly blocked,derived_metric
fact_simulation,vw_powerbi_simulation_effectiveness,missed_frauds,whole number,Frauds not blocked,derived_metric
fact_simulation,vw_powerbi_simulation_effectiveness,false_positives,whole number,Legit transactions blocked,derived_metric
fact_simulation,vw_powerbi_simulation_effectiveness,estimated_avoided_loss,decimal,Amount of blocked fraud,derived_economic
fact_simulation,vw_powerbi_simulation_effectiveness,detection_rate,decimal,detected_frauds / simulated_frauds,derived_metric
fact_simulation,vw_powerbi_simulation_effectiveness,precision_on_blocked,decimal,detected_frauds / (detected_frauds + false_positives),derived_metric
fact_simulation,vw_powerbi_simulation_effectiveness,recall_on_fraud,decimal,detected_frauds / simulated_frauds,derived_metric
fact_simulation,vw_powerbi_simulation_effectiveness,false_positive_rate,decimal,false_positives / legit transactions,derived_metric
live_kpis,vw_powerbi_live_kpis,total_transactions,whole number,Single-row live KPI snapshot across all transactions,derived_metric
dim_moroccan_context,vw_powerbi_moroccan_context,city,text,Moroccan city (synthetic demo only),synthetic_demo
dim_moroccan_context,vw_powerbi_moroccan_context,data_label,text,Mandatory disclaimer: synthetic demo data not representative of real Moroccan fraud,synthetic_demo
